Depth,Month,Day,Year,DO,Percent,Temp
0,7,29,19,7.56,100.8,28
1,7,29,19,7.65,100.3,27.1
2,7,29,19,7.69,100.4,26.9
3,7,29,19,7.14,92.2,26.2
4,7,29,19,8.3,102.4,23.8
5,7,29,19,4.21,46.2,17.9
6,7,29,19,0.7,7,13.3
7,7,29,19,,,
,,,,,,
0,7,29,19,8.62,110.3,28.2
1,7,29,19,8.59,109.2,27.7
2,7,29,19,8.54,106.9,26.9
3,7,29,19,8.25,101.9,26.1
4,7,29,19,8.77,105.3,24
5,7,29,19,5.35,55.5,17
6,7,29,19,0.64,6.3,12.9
7,7,29,19,0.06,0.6,11.1
,,,,,,
0,8,15,,8.2,102.5,26.6
1,8,15,,8.09,99,25.6
2,8,15,,8.26,100,25.1
3,8,15,,8.18,98.6,24.8
4,8,15,,6.88,78.6,24
5,8,15,,2.51,26.9,19
6,8,15,,0.37,3.2,13.9
7,8,15,,,,
,,,,,,
0,8,24,21,7.51,92.8,26
1,8,24,21,7.33,89.7,25.4
2,8,24,21,7.19,86.8,24.9
3,8,24,21,7.02,82.2,23.6
4,8,24,21,1.32,15,22.5
5,8,24,21,,,
6,8,24,21,,,
7,8,24,21,,,
,,,,,,
0,8,25,21,7.38,87.9,24
1,8,25,21,7.37,87.6,24
2,8,25,21,7.34,87.1,24
3,8,25,21,6.57,76.6,23.5
4,8,25,21,4.66,50,22.2
5,8,25,21,0.33,3.5,18.4
6,8,25,21,0.17,1.7,15.7
7,8,25,21,0.12,1.2,14
,,,,,,
0,,,,7.37,88,24.1
1,,,,7.3,86.8,24
2,,,,7.2,85.6,23.8
3,,,,6.87,82.2,23.3
4,,,,4.64,53.7,22.7
5,,,,0.16,1.8,20.3
6,,,,0.14,1.5,16.3
7,,,,,,
,,,,,,
0,9,5,21,7.37,83.1,21.2
1,9,5,21,7.35,82.8,21.2
2,9,5,21,7.31,82.4,21.2
3,9,5,21,6.99,78.4,21
4,9,5,21,6.5,72.9,20.7
5,9,5,21,0.15,1.7,18.7
6,9,5,21,0.14,1.6,15.8
7,9,5,21,0.14,1.5,13.3
,,,,,,
0,9,11,21,7.1,79.1,20.7
1,9,11,21,7.11,79.3,20.7
2,9,11,21,7.05,78.6,20.7
3,9,11,21,7,79.2,20.7
4,9,11,21,7.1,79.2,20.7
